Unnamed: 0,model_id,dataname,optimizer,lossfn,layers,regularization_strength,activationfn,epochs,batch_size,dropout_rate,train_accuracy,test_accuracy,time
,49.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 'dropout', 200, 'dropout', 150, 'dropout', 100, 'dropout', 50]",0.01,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294EC90AAA0>,100.0,1000.0,0.2,"[16.206863403320312, 58.082645416259766]","[16.051733016967773, 52.850341796875]",
,50.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 'dropout', 200, 'dropout', 150, 'dropout', 100, 'dropout', 50]",10.0,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294F7541360>,100.0,1000.0,0.2,"[83.23204040527344, 121.68290710449219]","[83.32598876953125, 124.34290313720703]",
,51.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 'dropout', 100, 'dropout', 100, 'dropout', 100, 'dropout', 100]",0.0,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294F18262F0>,100.0,1000.0,0.2,"[4.0983734130859375, 46.38510513305664]","[4.329652309417725, 54.80979537963867]",
,52.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 'dropout', 100, 'dropout', 100, 'dropout', 100, 'dropout', 100]",1e-06,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294F75F29E0>,100.0,1000.0,0.2,"[3.9436235427856445, 44.31616973876953]","[3.9878482818603516, 46.001590728759766]",
,53.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 'dropout', 100, 'dropout', 100, 'dropout', 100, 'dropout', 100]",0.0001,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294F1894B80>,100.0,1000.0,0.2,"[4.434329032897949, 47.447628021240234]","[4.311193943023682, 43.502052307128906]",
,54.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 'dropout', 100, 'dropout', 100, 'dropout', 100, 'dropout', 100]",0.01,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294F7D96620>,100.0,1000.0,0.2,"[18.246440887451172, 58.415958404541016]","[18.284238815307617, 57.071739196777344]",
,55.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 'dropout', 100, 'dropout', 100, 'dropout', 100, 'dropout', 100]",10.0,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294E9177E80>,100.0,1000.0,0.2,"[52.020599365234375, 120.70442199707031]","[52.15069580078125, 126.57456970214844]",
,56.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 100, 100, 100, 100]",0.0,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294EC90A6E0>,100.0,1000.0,0.2,"[3.50211238861084, 32.83562469482422]","[3.5997414588928223, 34.344295501708984]",
,57.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 100, 100, 100, 100]",1e-06,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294EAFA4370>,100.0,1000.0,0.2,"[3.63095760345459, 33.48375701904297]","[3.6271612644195557, 32.5994758605957]",
,58.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 100, 100, 100, 100]",0.0001,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294ED408490>,100.0,1000.0,0.2,"[3.9193146228790283, 33.06832504272461]","[4.032820701599121, 35.06868362426758]",
,59.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 100, 100, 100, 100]",0.01,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294F18BC0D0>,100.0,1000.0,0.2,"[23.956735610961914, 49.20842742919922]","[24.14653968811035, 52.64560317993164]",
,60.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 100, 100, 100, 100]",10.0,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294F1876B00>,100.0,1000.0,0.2,"[55.80876159667969, 45.42890167236328]","[55.8959846496582, 45.50102233886719]",
